org_name,org_alt_name,ein_num,bio,city,state,assets,income,mission_statement,facebook_link,twitter_link,youtube_link,instagram_link,linkedin_link
PUBLIC HEALTH ADVOCATES,,95-4723901,"['efforts are funded through donations of unrestricted funds. <em>Public</em> parks support physical and emotional <em>health,</em> promote social cohesion, bolster local economies, and make neighborhoods more attractive places to live, work, and play. Funded by The California Endowment, the California Wellness Foundation, and the Gilbert Foundation, <em>Public Health</em> Advocates is partnering with KDI to help low-income cities', '<em>Public Health</em> Advocates works with communities to promote policies, systems, and norms that foster <em>health</em> and social justice. public']",Davis,CA,3802540,7260608,"Public Health Advocates works with communities to promote policies, systems, and norms that foster health and social justice.",https://facebook.com/PHAdvocates,https://twitter.com/WeArePHA,,https://instagram.com/wearephadvocates,https://linkedin.com/company/public-health-advocates
Trust For Public Land,Trust for Public Land,23-7222333,"['rates of obesity, diabetes, asthma, anxiety, and depression.Research shows that parks promote <em>public health</em> and revitalize local economies. They make cities more energy-efficient and less vulnerable to the effects of climate change. They connect neighbors to the great outdoors and to each other.The Trust for <em>Public</em> Land was founded to conserve land for people to enjoy as parks, gardens, and other natural', ""The Trust for <em>Public</em> Land's mission is to create parks and protect land for people, ensuring healthy, livable communities for generations to come. conservation""]",Los Angeles,CA,308182607,214630493,"The Trust for Public Land's mission is to create parks and protect land for people, ensuring healthy, livable communities for generations to come.",https://facebook.com/TheTrustforPublicLand,https://twitter.com/TPL_org,https://youtube.com/TrustforPublicLand,https://instagram.com/trustforpublicland,https://linkedin.com/company/the-trust-for-public-land
The Public Health Advocacy Institute Inc,,04-2668916,"['ENHANCE <em>PUBLIC HEALTH</em> UNDERSTANDING AND COMMITMENT AMONG LAW TEACHERS AND STUDENTS, LEGISLATORS, THE COURTS AND OTHERS WHO SHAPE <em>PUBLIC</em> POLICY THROUGH THE LAW.', ' <em>Health,</em> Mental <em>health</em> care, Addiction services, Smoking, <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Boston,MA,795836,740524,"ENHANCE PUBLIC HEALTH UNDERSTANDING AND COMMITMENT AMONG LAW TEACHERS AND STUDENTS, LEGISLATORS, THE COURTS AND OTHERS WHO SHAPE PUBLIC POLICY THROUGH THE LAW.",,,,,
"World Vision, Inc.",WVUS,95-1922279,"[' child sponsorship, children &amp; youth, relief and development, religious, transformational development, international programs, domestic programs, <em>public</em> awareness and education, water, <em>health,</em> food, agriculture, <em>Public</em> safety, Disasters and emergency management, Disaster relief, Religion, Christianity, International relations, International development, Age groups, Children and youth', ' identity, Women and girls, Family relationships, Families, Social and economic status, Economically disadvantaged people, Religious institutions, Places of worship, Non-governmental organizations, <em>Public</em> charities']",Federal Way,WA,439422173,2106013979,"World Vision is a Christian humanitarian organization dedicated to working with children, families, and their communities worldwide to reach their full potential by tackling the causes of poverty and injustice. World Vision serves all people, regardless of religion, race, ethnicity, or gender.",https://facebook.com/WorldVisionUSA,https://twitter.com/@WorldVisionUSA,https://youtube.com/WorldVisionUSA,https://instagram.com/WorldVisionUSA,https://linkedin.com/company/WorldVisionUSA
Safe Kids Worldwide,Safe Kids Worldwide,52-1627574,"['Safety, Safe Kids Worldwide Children, Child Safety, <em>Health,</em> Kids, Education, Injury, <em>Public Health,</em> Children, <em>Health,</em> <em>Public health,</em> <em>Public</em> safety, Safety education, Human services, Youth development, Youth services, Age groups, Children and youth, Children, Adults, Family relationships, Work status and occupations, Academics, Students, Non-governmental organizations, Supporting organizations (general', ""in the United States and partners in more than 30 countries, Safe Kids works with children's hospitals, trauma centers, first responders, and <em>public health</em> experts to get evidence-informed, life-saving information to families, no matter where they live, to influence behavior change. Since 1988, the work of Safe Kids has contributed to the more than 60 percent reduction in childhood unintentional injury""]",Silver Spring,MD,5641056,7162566,"Safe Kids Worldwide (Safe Kids) is a nonprofit dedicated to protecting kids from preventable injuries, the number one cause of death for children in the United States. Safe Kids is a go-to resource to help parents and caregivers keep kids safe from car crashes, fires, falls, poisoning, and more. Through more than 400 coalitions in the United States and partners in more than 30 countries, Safe Kids works with children's hospitals, trauma centers, first responders, and public health experts to get evidence-informed, life-saving information to families, no matter where they live, to influence behavior change. Since 1988, the work of Safe Kids has contributed to the more than 60 percent reduction in childhood unintentional injury deaths in the United States.",https://facebook.com/safekidsworldwide,https://twitter.com/safekids,https://youtube.com/safekidsusa,https://instagram.com/safekidsworldwide,https://linkedin.com/company/company/safe-kids-worldwide
AMERICAN WATER WORKS ASSOCIATION,AWWA Water Equation,13-5660277,"['safe water, <em>public health,</em> water infrastructure, <em>Public</em> affairs, Non-governmental organizations, <em>Public</em> charities', 'sale of books, manuals, handbooks, reports, etc for use by the <em>public</em> and the water industry Providing funding for workforce advancement, scholarships, students, young professionals and Community Engineering Corps AWWA unites water professionals through conferences, training webinars and seminars.']",Denver,CO,46390554,51965896,"Providing Solutions to effectively manage water, the world’s most important resource.
Water Equation Mission: Providing funding for workforce advancement, scholarships, students, young professionals and Community Engineering Corps",,,,,
"Bill, Hillary & Chelsea Clinton Foundation",Clinton Foundation,31-1580204,"['partnerships work to expand economic opportunity, improve <em>public health,</em> confront the climate crisis, and inspire citizen engagement and service. The Foundation also operates the Clinton Presidential Center, which provides educational and cultural programming and is home to the Clinton Presidential Library &amp; Museum', ' Economic Development; <em>Public Health</em>; Civic Engagement; Early Childhood Education; Climate']",Little Rock,AR,306402788,64938985,"Building on a lifetime of public service, President Clinton established the Clinton Foundation on the simple belief that everyone deserves a chance to succeed, everyone has a responsibility to act, and we all do better when we work together. For more than two decades, those values have energized the work of the Foundation in overcoming complex challenges and improving the lives of people across the United States and around the world. As an operating foundation, our programs and partnerships work to expand economic opportunity, improve public health, confront the climate crisis, and inspire citizen engagement and service. The Foundation also operates the Clinton Presidential Center, which provides educational and cultural programming and is home to the Clinton Presidential Library & Museum",https://facebook.com/ClintonFoundation,https://twitter.com/ClintonFdn,,https://instagram.com/clintonfoundation,
THE PUBLIC HEALTH MUSEUM IN MASSACHUSETTS INCORPORATED,,22-3164721,"['of the <em>Public Health</em> Museum is two-fold: to educate the <em>public</em> about the achievements and contributions of <em>public health</em> in preventing disease and improving the <em>health</em> of individuals and communities in Massachusetts and worldwide; and to inspire students, researchers, <em>health</em> care workers and <em>public health</em> professionals to build upon the past and continue to advance the future of <em>public health.</em>', ' Outbreak! is a free five day interactive program that offers high school students the opportunity to learn the history and impact of <em>public health,</em> while also introducing students to diverse <em>public health</em> careers.']",Tewksbury,MA,0,0,"The mission of the Public Health Museum is two-fold: to educate the public about the achievements and contributions of public health in preventing disease and improving the health of individuals and communities in Massachusetts and worldwide; and to inspire students, researchers, health care workers and public health professionals to build upon the past and continue to advance the future of public health.",,,,,
Maryland Congress of Parents and Teachers Inc,MD Community Council,52-0667483,"['  child, children, parents, teachers, education, <em>public</em> schools, parent, involvement, safety, <em>health,</em> Education, Education services, Parent-teacher involvement, <em>Health,</em> Rehabilitation, Animal therapy, Art and music therapy, Mental <em>health</em> care, Family relationships, Social and economic status, <em>Health,</em> Non-governmental organizations, <em>Public</em> charities', 'Our Mission is to provide educational, mental <em>health,</em> physical fitness, social support to the communities, schools and families in the 24 counties within the State of Maryland.   While focusing on various issues that combat families, teachers, students and the community such as mental <em>health</em> awareness, social awareness, diversity and inclusion, physical fitness awareness, bullying, special education']",Glen Burnie,MD,274214,166605,"Our Mission is to provide educational, mental health, physical fitness, social support to the communities, schools and families in the 24 counties within the State of Maryland. While focusing on various issues that combat families, teachers, students and the community such as mental health awareness, social awareness, diversity and inclusion, physical fitness awareness, bullying, special education needs, autism awareness, Traumatic Brain Injury, Intellectual Disabilities, the LGBTQ+ youth community, assisting undocumented immigrants, helping to combat food insecurity as well as providing necessary training and educational needs for all.",https://facebook.com/https://www.facebook.com/MarylandParentTeacherAssociation/,https://twitter.com/https://twitter.com/MarylandPTA,,,
Michigan Congress of Parents & Teachers,Michigan PTA,38-1525921,"['  child, children, parents, teachers, education, <em>public</em> schools, parent, involvement, safety, <em>health,</em> advocacy, Education, Education services, Parent-teacher involvement, Human rights, Age groups, Children and youth, Adolescents, Adults, Family relationships, Families, Parents', 'Orphans, Foster and adoptive children, Transitioning children, Ethnic and racial groups, Social and economic status, Economically disadvantaged people, At-risk youth, <em>Health,</em> People with disabilities, Non-governmental organizations, <em>Public</em> charities']",Livonia,MI,344446,209296,"PTA's mission is to make every child’s potential a reality by engaging and empowering families and communities to advocate for all children.
PTA is the oldest and largest child advocacy association in America, comprised of over 24,000 local PTAs and nearly 4 million members. As part of this nationwide network, parents have a voice in decisions that impact children in their individual schools, and at the district, state and national levels.
Michigan PTA mobilizes the forces of school, home, and community in order to ensure a quality education and nurturing environment for every child.",https://facebook.com/everychildonevoice,https://twitter.com/MichiganPTA1,https://youtube.com/MichiganPTA,,https://linkedin.com/company/michigan-pta
PTA New Jersey Congress of Parents & Teachers,New Jersey PTA,21-0649035,"[' child, children, parents, teachers, education, <em>public</em> schools, parent, involvement, safety, <em>health,</em> Education, Education services, Parent-teacher involvement, Age groups, Children and youth, Work status and occupations, Academics, Students, Teachers, Non-governmental organizations, <em>Public</em> charities', ""parent and <em>public</em> involvement in the <em>public</em> schools of this nation.  To make a child's potential a reality. child""]",Trenton,NJ,597117,221180,"To support and speak on behalf of children and youth in the schools, in the community, and before governmental bodies and other organizations that make decisions affecting children; To assist parents in developing the skills they need to raise and protect their children; To encourage parent and public involvement in the public schools of this nation. To make a child's potential a reality.",https://facebook.com/NJPTA,https://twitter.com/@NJPTA,,https://instagram.com/njpta,
"Vital Strategies, Inc.",,22-3419667,"['strengthen their <em>public health</em> systems to contend with the most important and difficult <em>health</em> challenges. We design solutions that can scale rapidly and improve the lives of millions of people. Our mission is to work in partnership to reimagine evidence-based, locally driven policies and practices to advance <em>public health.</em> ', '  <em>Public Health</em> Programs, Strengthening <em>Public Health</em> Systems, <em>Health,</em> <em>Health</em> care access']",New York City,NY,142331793,124764211,"Vital Strategies helps governments strengthen their public health systems to contend with the most important and difficult health challenges. We design solutions that can scale rapidly and improve the lives of millions of people. Our mission is to work in partnership to reimagine evidence-based, locally driven policies and practices to advance public health.",https://facebook.com/vitalstrategies/,https://twitter.com/vitalstrat,,https://instagram.com/vitalstrategies,https://linkedin.com/company/company/vital-strategies
